location,price,total_area,net_area,price_per_sqm,rooms_count,halls_count,bathrooms_count,balconies_count,floor_raw,floor_num,total_floors,building_age_clean,age_category,legal_status,house_condition,kitchen_type,heating_type,has_elevator,has_parking,in_complex,is_furnished,facade_directions,advertiser_type,near_mosque,near_hospital,near_park,near_university,near_school,near_market,near_transport
العباسية_المهاجرين,5950,60,60,99.17,2,1,1,1,2,2,4,7.5,Semi-New,كاتب عدل/وكالة,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,شرق,وسيط,0,0,1,0,1,0,0
,7650,80,80,95.62,2,1,2,1,3,3,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,غرب,وسيط,0,0,1,0,1,0,0
وادي الذهب,8000,100,100,80.0,3,1,2,1,2,2,4,7.5,Semi-New,كاتب عدل/وكالة,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,شمال,وسيط,0,0,0,0,0,0,0
السبيل,8500,100,100,85.0,2,1,1,0,4,4,4,7.5,Semi-New,كاتب عدل/وكالة,مسكون من صاحبه,مغلق,لا يوجد,بدون مصعد,بدون موقف,داخل مجمع,غير مفروش,"شرق,غرب",المالك,0,0,0,0,0,0,0
كرم الزيتون,9775,120,120,81.46,3,1,2,2,2,2,5,4.0,New,كاتب عدل/وكالة,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,شمال,وسيط,0,0,0,0,0,0,0
وادي الذهب,10684,75,75,142.45,2,1,2,1,1,1,4,10.0,Semi-New,كاتب عدل/وكالة,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق,شمال,غرب",وسيط,0,0,0,0,0,0,0
العباسية_المهاجرين,10684,90,90,118.71,2,1,2,1,1,1,5,4.0,New,كاتب عدل/وكالة,فارغ,مفتوح (أمريكي),تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"شرق,غرب",وسيط,0,0,0,0,0,0,0
تلدو,10850,105,105,103.33,2,1,2,1,قبو 1,-1,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"شمال,غرب",وسيط,0,0,0,0,0,0,0
كرم الزيتون,11000,75,75,146.67,3,1,2,0,أرضي,0,4,7.5,Semi-New,كاتب عدل/وكالة,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"شرق,شمال",وسيط,0,0,0,0,0,0,0
الفردوس,11900,126,126,94.44,4,1,2,1,2,2,4,4.0,New,كاتب عدل/وكالة,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"شرق,غرب",وسيط,0,0,0,0,0,0,0
الأرمن,12000,65,65,184.62,1,1,1,1,1,1,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق,غرب",وسيط,0,0,0,0,0,0,0
الأرمن,12000,50,50,240.0,2,1,1,1,أرضي,0,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,شرق,وسيط,0,0,0,0,1,1,0
السبيل,12800,80,80,160.0,2,1,1,1,قبو 2,-1,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,لا يوجد,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,شرق,وسيط,0,0,0,0,0,1,0
الأرمن,12821,50,50,256.42,2,1,0,1,1,1,3,20.0,Medium,كاتب عدل/وكالة,مؤجر,مغلق,لا يوجد,بدون مصعد,بدون موقف,خارج مجمع,غير مفروش,جنوب,وسيط,0,0,0,0,0,0,0
الزهراء,13000,100,100,130.0,3,1,2,1,1,1,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شمال,غرب",وسيط,0,1,0,0,0,1,0
وادي الذهب,23000,140,140,164.29,3,1,2,1,أرضي,0,4,7.5,Semi-New,كاتب عدل/وكالة,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,شمال,وسيط,0,0,1,0,0,0,0
كرم اللوز,23000,110,110,209.09,3,1,2,1,2,2,4,7.5,Semi-New,كاتب عدل/وكالة,مسكون من صاحبه,مفتوح (أمريكي),تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,شمال,وسيط,0,1,0,0,0,0,0
كرم اللوز,25000,180,150,138.89,3,1,2,1,أرضي,0,4,12.5,Medium,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شمال",وسيط,0,0,0,0,1,0,0
جب الجندلي,25000,100,100,250.0,2,1,2,1,أرضي,0,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,غرب,وسيط,0,0,1,0,0,0,0
